white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-200m-100L-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0999, 37060, 41768, 8751, 11044, 573, 804
h60-200m-100L-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0883, 35049, 40561, 10613, 12366, 737, 674
h60-200m-100L-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0981, 35441, 40578, 10170, 12570, 641, 600
h60-200m-100L-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0559, 36970, 39437, 10194, 12119, 761, 519
h60-200m-100L-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0772, 37479, 40814, 9080, 11526, 635, 466
h60-200m-100L-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.079, 35863, 41632, 10100, 11295, 599, 511
h60-200m-100L-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0308, 36218, 39583, 11280, 11650, 806, 463
h60-200m-100L-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0298, 37161, 39588, 10800, 11225, 662, 564
h60-200m-100L-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0358, 35684, 40462, 11408, 11252, 744, 450
h60-200m-100L-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0354, 38885, 40077, 9238, 10774, 633, 393
h60-200m-100L-11.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0165, 37226, 39714, 10936, 10948, 731, 445
h60-200m-100L-12.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.022, 36976, 39964, 10994, 10963, 673, 430
h60-200m-100L-13.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0314, 38597, 39834, 9575, 10938, 666, 390
h60-200m-100L-14.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0255, 37149, 40669, 10541, 10528, 714, 399
h60-200m-100L-15.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0128, 37545, 39076, 10966, 11226, 722, 465
h60-200m-100L-16.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0066, 37667, 39001, 11041, 11133, 722, 436
h60-200m-100L-17.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0306, 38001, 39522, 10145, 11253, 653, 426
h60-200m-100L-18.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0314, 39448, 39787, 8969, 10734, 653, 409
h60-200m-100L-19.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.011, 38607, 39808, 10042, 10451, 699, 393
h60-200m-100L-20.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.00902, 34905, 39426, 12919, 11459, 762, 529
h60-200m-100L-21.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0263, 38197, 39066, 10252, 11306, 647, 532
h60-200m-100L-22.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.0171, 36304, 39466, 11741, 11240, 700, 549
