white,black,trials,equity,sw,sl,gw,gl,bw,bl
h30-b-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.096, 35534, 40546, 10280, 11755, 669, 1216
h30-b-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0838, 35300, 40621, 10676, 11252, 758, 1393
h30-b-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0608, 35590, 40553, 10991, 11069, 738, 1059
h30-b-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0609, 37382, 40556, 9757, 10679, 634, 992
h30-b-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0459, 36009, 39155, 11383, 11324, 804, 1325
h30-b-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0406, 38395, 39949, 9718, 10497, 563, 878
h30-b-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.026, 38809, 40278, 9564, 10092, 616, 641
h30-b-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0411, 37038, 40741, 10412, 10343, 642, 824
h30-b-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0247, 36704, 39531, 11280, 10985, 711, 789
h30-b-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0271, 38509, 40173, 9774, 10328, 619, 597
h30-b-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0339, 38365, 39444, 9934, 11014, 597, 646
h30-b-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0313, 38475, 39376, 9926, 10949, 606, 668
h30-b-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00856, 37534, 39422, 11077, 10531, 708, 728
h30-b-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0135, 37850, 40440, 10500, 9853, 670, 687
h30-b-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0131, 38078, 39569, 10612, 10399, 631, 711
h30-b-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00934, 37549, 39474, 11006, 10560, 722, 689
h30-b-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00832, 38181, 38542, 10822, 11086, 694, 675
h30-b-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0153, 37985, 38848, 10766, 11052, 659, 690
h30-b-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0245, 38565, 38864, 10090, 11287, 637, 557
h30-b-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00027, 38393, 38945, 10761, 10668, 673, 560
h30-b-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0184, 37983, 39292, 10514, 10981, 682, 548
h30-b-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00199, 37831, 39093, 11034, 10825, 716, 501
h30-b-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00673, 38609, 39276, 10382, 10625, 634, 474
h30-b-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00668, 37060, 39165, 11473, 10987, 735, 580
h30-b-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00439, 37928, 38439, 11281, 11094, 725, 533
h30-b-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0157, 39027, 39762, 9712, 10454, 630, 415
h30-b-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0116, 38001, 38702, 10810, 11306, 680, 501
h30-b-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00677, 38375, 39077, 10626, 10861, 613, 448
h30-b-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00216, 37911, 39291, 10969, 10657, 676, 496
h30-b-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00131, 38313, 38886, 10854, 10793, 674, 480
h30-b-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, -6e-05, 38276, 39031, 10887, 10763, 605, 438
h30-b-32.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0087, 38345, 39265, 10518, 10790, 640, 442
h30-b-33.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00162, 37828, 38864, 11136, 10936, 697, 539
h30-b-34.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00463, 38642, 38880, 10675, 10632, 688, 483
h30-b-35.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00654, 37929, 38978, 10919, 11029, 675, 470
h30-b-36.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00414, 38655, 38823, 10481, 10967, 658, 416
h30-b-37.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00087, 37797, 38753, 11207, 11080, 713, 450
h30-b-38.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00594, 38371, 39156, 10832, 10522, 686, 433
h30-b-39.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00487, 39118, 39442, 10233, 10156, 635, 416
h30-b-40.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0017, 38442, 39257, 10698, 10534, 644, 425
h30-b-41.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00533, 38008, 38459, 11300, 11039, 674, 520
h30-b-42.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00561, 38189, 39374, 10914, 10389, 683, 451
h30-b-43.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00918, 37514, 38851, 11611, 10851, 709, 464
