white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-200m-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.084, 36768, 40768, 9512, 11021, 735, 1196
h60-200m-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0876, 36590, 39925, 9603, 12024, 832, 1026
h60-200m-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0494, 36808, 40077, 10398, 10977, 785, 955
h60-200m-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0302, 36300, 39983, 11241, 10753, 809, 914
h60-200m-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0566, 37346, 40727, 9820, 10585, 637, 885
h60-200m-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0192, 36953, 39935, 10938, 10480, 872, 822
h60-200m-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0318, 38699, 40333, 9380, 10093, 728, 767
h60-200m-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0411, 36533, 40214, 10893, 10674, 699, 987
h60-200m-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0156, 38023, 39624, 10402, 10506, 764, 681
h60-200m-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0319, 37686, 40101, 10243, 10428, 703, 839
h60-200m-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00483, 37726, 39070, 11166, 10497, 852, 689
h60-200m-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0171, 37308, 40169, 10774, 10133, 786, 830
h60-200m-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0122, 38301, 40293, 10150, 9914, 721, 621
h60-200m-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0096, 36844, 39250, 11496, 10668, 836, 906
h60-200m-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00249, 36784, 39991, 11551, 10078, 800, 796
h60-200m-16.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.00182, 37056, 38976, 11589, 10879, 803, 697
h60-200m-17.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0102, 37687, 38434, 11576, 10595, 822, 886
h60-200m-18.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, -0.00159, 37936, 39747, 10791, 10010, 773, 743
h60-200m-19.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0158, 37278, 38919, 11887, 10219, 830, 867
h60-200m-20.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0141, 36097, 38435, 12821, 10895, 858, 894
h60-200m-21.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0247, 38554, 38853, 11178, 9931, 788, 696
h60-200m-22.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0117, 37572, 38908, 11590, 10456, 777, 697
h60-200m-23.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0286, 37983, 38742, 11707, 10143, 794, 631
h60-200m-24.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0118, 37325, 39006, 11827, 10336, 732, 774
h60-200m-25.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0124, 36786, 39135, 12179, 10400, 756, 744
h60-200m-26.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0315, 36334, 38684, 12957, 10511, 858, 656
h60-200m-27.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0295, 36707, 38922, 12613, 10283, 821, 654
h60-200m-28.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0418, 37117, 38694, 12596, 10128, 870, 595
h60-200m-29.w, /home/ubuntu/src/backgammon/nets/drc.w, 100000, 0.0243, 37538, 38885, 11932, 10204, 774, 667
h60-200m-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0144, 37276, 39764, 11681, 9936, 745, 598
h60-200m-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0186, 37780, 38854, 11570, 10360, 804, 632
h60-200m-32.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0295, 38309, 39037, 11439, 9938, 751, 526
