white,black,trials,equity,sw,sl,gw,gl,bw,bl
h120-200m--h30-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0582, 36896, 39881, 10464, 10714, 634, 1411
h120-200m--h30-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0221, 38373, 38267, 10344, 11529, 753, 734
h120-200m--h30-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0263, 36919, 38702, 11139, 11684, 819, 737
h120-200m--h30-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0211, 37219, 40126, 10813, 10768, 655, 419
h120-200m--h30-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0103, 37775, 38853, 11329, 10788, 799, 456
h120-200m--h30-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00668, 35524, 38829, 12968, 11310, 794, 575
h120-200m--h30-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0116, 35556, 38413, 13114, 11522, 837, 558
h120-200m--h30-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0102, 35472, 38092, 13197, 11840, 854, 545
h120-200m--h30-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00885, 37685, 37254, 11867, 11982, 720, 492
h120-200m--h30-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0351, 36464, 37344, 13317, 11567, 802, 506
h120-200m--h30-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0234, 38325, 38807, 11436, 10415, 639, 378
h120-200m--h30-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.033, 37095, 38006, 12623, 11024, 794, 458
h120-200m--h30-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.023, 38262, 38338, 11496, 10774, 721, 409
h120-200m--h30-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0283, 37765, 38315, 12028, 10725, 713, 454
h120-200m--h30-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0392, 36914, 38270, 12966, 10684, 701, 465
h120-200m--h30-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.036, 37401, 38028, 12413, 10871, 834, 453
h120-200m--h30-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0459, 37634, 38197, 12583, 10459, 714, 413
h120-200m--h30-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0453, 37834, 37484, 12505, 10895, 801, 481
h120-200m--h30-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0399, 37740, 37742, 12395, 10907, 778, 438
h120-200m--h30-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0456, 37495, 37862, 12640, 10792, 811, 400
h120-200m--h30-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0502, 38196, 37941, 12275, 10464, 752, 372
h120-200m--h30-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0536, 38103, 38121, 12342, 10294, 783, 357
h120-200m--h30-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0461, 36727, 37941, 13156, 10963, 847, 366
h120-200m--h30-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0437, 38135, 37830, 12161, 10730, 773, 371
h120-200m--h30-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0499, 36702, 37882, 13267, 10760, 887, 502
h120-200m--h30-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0474, 38763, 37987, 11787, 10386, 732, 345
h120-200m--h30-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0462, 38634, 38305, 11786, 10209, 723, 343
h120-200m--h30-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0561, 37461, 37346, 13050, 10864, 826, 453
h120-200m--h30-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0561, 38431, 38135, 12214, 10144, 733, 343
h120-200m--h30-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.057, 38084, 38404, 12401, 9995, 759, 357
h120-200m--h30-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0593, 37203, 37361, 13322, 10907, 814, 393
h120-200m--h30-32.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0603, 38746, 38062, 12087, 10024, 744, 337
h120-200m--h30-33.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0595, 38615, 37492, 12381, 10485, 686, 341
h120-200m--h30-34.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0643, 38495, 38307, 12310, 9770, 753, 365
h120-200m--h30-35.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0596, 38303, 37962, 12394, 10266, 765, 310
h120-200m--h30-36.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.062, 37282, 37415, 13399, 10750, 749, 405
h120-200m--h30-37.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0683, 39105, 37646, 12049, 10030, 807, 363
h120-200m--h30-38.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0568, 37716, 37415, 12928, 10833, 752, 356
h120-200m--h30-39.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0734, 37957, 36957, 13198, 10601, 835, 452
h120-200m--h30-40.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0691, 37438, 37015, 13428, 10851, 856, 412
h120-200m--h30-41.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0738, 37835, 37120, 13205, 10594, 863, 383
h120-200m--h30-42.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0695, 38530, 37875, 12503, 9966, 766, 360
h120-200m--h30-43.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0726, 37813, 37057, 13216, 10651, 861, 402
h120-200m--h30-44.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0519, 39539, 37420, 11439, 10536, 744, 322
h120-200m--h30-45.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0696, 36789, 37395, 13842, 10697, 851, 426
h120-200m--h30-46.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0704, 38085, 36931, 12954, 10752, 886, 392
h120-200m--h30-47.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0659, 37649, 37256, 13150, 10765, 828, 352
h120-200m--h30-48.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0774, 37849, 37511, 13185, 10245, 858, 352
h120-200m--h30-49.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0804, 38023, 36957, 13261, 10526, 867, 366
h120-200m--h30-50.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0628, 39886, 37072, 11575, 10440, 713, 314
